included_pathology,min,max
Infarto transmural (agudo) laterobasal,0,100
Infarto transmural (agudo) posterior (verdadero),0,100
Infarto transmural (agudo) posterobasal,0,100
Infarto transmural (agudo) posterolateral,0,100
Infarto transmural (agudo) posteroseptal,0,100
Infarto transmural (agudo) septal sin otra especificación,0,100
Infarto transmural agudo del miocardio de la pared anterior,0,100
Infarto transmural agudo del miocardio de la pared inferior,0,100
"Infarto transmural agudo del miocardio, de sitio no especificado",0,100
Infarto transmural del miocardio,0,100
Infección aguda no especificada de las vías respiratorias inferiores,0,5
Infección por Virus de la Inmunodeficiencia Humana (VIH),0,100
Infección respiratoria aguda (IRA) de manejo ambulatorio en personas menores de 5 años,0,5
Influenza,0,5
Insuficiencia aórtica,15,100
Insuficiencia congénita de la válvula aórtica,0,15
Insuficiencia congénita de la válvula pulmonar,0,15
Insuficiencia mitral,15,100
Insuficiencia mitral congénita,0,15
Insuficiencia Tricuspídea,15,100
"Isquemia cerebral transitoria, sin otra especificación",15,100
Isquemia del miocardio recurrente,0,100
Labio hendido,0,100
Labio leporino,0,100
"Labio leporino, bilateral",0,100
"Labio leporino, línea media",0,100
"Labio leporino, unilateral",0,100
Laceración cerebral focal,0,100
Laceración conjuntival > 10 mm,0,100
Laceración corneal,0,100
Laceración del cerebro sin otra especificación,0,100
Laringitis aguda,0,5
Laringitis obstructiva aguda,0,5
Laringotraqueítis,0,5
Lesión de sitios contiguos de la vejiga,15,100
Lesión neoplásica de sitios contiguos de la mama,15,100
Leucemia,15,100
Leucemia aguda,15,100
"Leucemia aguda, células de tipo no especificado",15,100
Leucemia aleucémica,15,100
Leucemia Basofílica,15,100
Leucemia Blástica,15,100
Leucemia crónica,15,100
"Leucemia crónica, células de tipo no especificado",15,100
Leucemia de células de Burkitt,15,100
Leucemia de células vellosas,15,100
Leucemia de hemocitoblastos,15,100
Leucemia en personas de 15 años y más,15,100
Leucemia eosinofílica,15,100
Leucemia granulocítica (crónica),15,100
Leucemia linfática crónica/linfoma linfocítico,15,100
Leucemia linfoblástica aguda,15,100
Leucemia linfocítica crónica,15,100
Leucemia linfocitos T grandes granulares,15,100
Leucemia linfoide,15,100
Leucemia linfoide aleucémica,15,100
Leucemia megacarioblástica,15,100
Leucemia megacarioblástica aguda,15,100
Leucemia megacariocítica (aguda),15,100
Leucemia mielógena,15,100
Leucemia mieloide,15,100
Leucemia mieloide aguda,15,100
Leucemia mieloide aleucémica,15,100
Leucemia mieloide crónica,15,100
Leucemia mielomonocítica aguda,15,100
Leucemia monocítica,15,100
Leucemia monocítica aguda,15,100
Leucemia monocitoide,15,100
Leucemia NK agresiva,15,100
Leucemia prolinfocítica,15,100
Leucemia prolinfocítica B,15,100
Leucemia prolinfocítica T,15,100
Leucemia promielocítica aguda,15,100
Leucemia/Linfoma T del adulto,15,100
Leucoplasia,60,61
Leucoplasia pilosa,60,61
Linfoma 1° derrames,15,100
"Linfoma anaplástico células grandes, ALK negativo",15,100
"Linfoma anaplástico células grandes, ALK positivo",15,100
Linfoma angioinmunoblástico T,15,100
"Linfoma B, inclasificable, intermedio entre difuso células grandes B y Burkitt",15,100
"Linfoma B, inclasificable, intermedio entre difuso células grandes B y linfoma de Hodgkin clásico.",15,100
Linfoma células grandes B en Enfermedad de Castelman asociado a HHV8,15,100
"Linfoma células grandes B, ALK positivo",15,100
Linfoma células grandes rico células T,15,100
Linfoma de Hodgkin,15,100
Linfoma de Hodgkin clásico,15,100
Linfoma de Hodgkin Clásico celularidad mixta,15,100
Linfoma de Hodgkin Clásico depleción linfocitaria,15,100
Linfoma de Hodgkin Clásico esclerosis nodular,15,100
Linfoma de Hodgkin Clásico rico en linfocitos,15,100
Linfoma de Hodgkin predominio linfocítico nodular,15,100
Linfoma de zona marginal nodal,15,100
Linfoma del manto,15,100
Linfoma difuso células grandes asociado a inflamación crónica,15,100
"Linfoma difuso células grandes B, no especificado",15,100
Linfoma EBV positivo del anciano,15,100
Linfoma esplénico zona marginal,15,100
Linfoma extranodal de zona marginal de tejido asociado a mucosas (MALT),15,100
Linfoma extranodal T/NK tipo nasal,15,100
Linfoma folicular,15,100
Linfoma intravascular células grandes B,15,100
Linfoma linfoplasmocítico,15,100
Linfoma no Hodgkin,15,100
Linfoma no Hodgkin Leucemia/Linfoma linfoblástico de precursores B,15,100
Linfoma no Hodgkin Neoplasias de precursores linfoides,15,100
Linfoma no Hodgkin/Linfoma linfoblástico T,15,100
"Linfoma periférico T, no especificado",15,100
Linfoma plasmablástico,15,100
Linfoma Primario Cutáneo B,15,100
"Linfoma primario cutáneo T, CD30+, subtipos raros",15,100
Linfoma primario del mediastino células grandes B,15,100
Linfoma primario SNC,15,100
Linfoma T hepatoesplénico,15,100
Linfoma T tipo enteropatía,15,100
"Linfoma/leucemia, inclasificable:",15,100
"Linfoma/leucemia, inclasificable: Esplénico difuso pulpa roja células B pequeñas",15,100
"Linfoma/leucemia, inclasificable: Variante leucemia de células vellosas",15,100
Linfomas en personas de 15 años y más,15,100
Linfomas relacionados al virus de inmunodeficiencia humana (VIH),15,100
Lipoma Cono Medular,0,100
Lipoma D Efilum,0,100
Lipoma Extradural,0,100
Lipomeningocele,0,100
lnsuficiencia aórtica congénita,0,15
Lupus Eritematoso Sistémico,0,100
Lupus Eritematoso Sistémico,0,100
Luxación disco (intervertebral) lumbar,0,100
Malformación congénita de la válvula pulmonar,0,15
"Malformación congénita de la várvula tricúspide, no especificada",0,15
Malformación congénita de las cámaras cardíacas y de sus conexiones,0,15
"Malformación congénita de las grandes arterias, no especificada",0,15
"Malformación congénita de las grandes venas, no especificada",0,15
"Malformación congénita de las válvulas aórtica y mitral, no especificada",0,15
"Malformación congénita del corazón, no especificada",0,15
Malformación congénita del miocardio,0,15
Malformación congénita del pericardio,0,15
"Malformación congénita del tabique cardíaco, no especificada",0,15
Malformación de los vasos coronarios,0,15
Médula Anclada,0,100
Meningioma encefálico,15,100
Meningocele (raquídeo),0,100
Meningocele cerebral,0,100
Meningoencefalocele,0,100
Meningomielocele,0,100
Micosis fungoide,15,100
Mielocele,0,100
Mielocistocele,0,100
Mielomeningocele,0,100
Mielomeningocistocele,0,100
Mielopatía por desplazamiento o hernia de disco vertebral lumbar,0,100
Mioma de la próstata,0,100
Miopía,65,100
Mucoviscidosis,0,100
Múltiples drogas u otras sustancias psicoactivas,0,20
Necrosis de la pulpa embarazada,0,100
Necrosis de la pulpa. ( gangrena de la pulpa),6,7
Neoplasia intraepitelial cervical [NIC],0,100
"Neoplasia intraepitelial cervical [NIC], grado I",0,100
"Neoplasia intraepitelial cervical [NIC], grado II",0,100
"Neoplasia intraepitelial cervical [NIC], grado III, con o sin mención de displasia severa",0,100
Neoplasias B maduras,15,100
Neoplasias de células maduras,15,100
Neoplasias T y NK maduras,15,100
Neumonía (Todas las de manejo ambulatorio),0,5
Neumonía (Todas las de manejo ambulatorio),65,100
Neumonía adquirida en la comunidad de manejo ambulatorio en personas de 65 años y más,65,100
Neumonitis infecciosa (Todas las de manejo ambulatorio),65,100
Neumopatía aguda (Todas las de manejo ambulatorio),65,100
Neuropatía óptica traumática.,0,100
Oclusión y estenosis de arterias cerebrales y precerebrales que ocasionan infarto cerebral,15,100
Oligoartritis Poliartritis (FR +),0,100
Opioides,0,20
Osteosarcoma,15,100
Osteosarcoma en personas de 15 años y más,15,100
Ostium secundum (tipo ll) abierto o persistente,0,15
Otra diabetes mellitus especificada con retinopatía diabética,0,100
"Otra diabetes mellitus no especificada, sin mención de complicación",0,100
Otra malformación congénita de las cámaras cardíacas y de sus conexiones,0,15
Otra malformación congénitas de la válvula pulmonar,0,15
Otras caries dentales,60,61
Otras caries dentales,6,7
Otras caries dentales embarazada,0,100
Otras escoliosis secundarias,0,25
Otras isquemias cerebrales transitorias y síndromes afines,15,100
Otras lesiones traumáticas severas del globo ocular,0,100
Otras malformaciones congénitas de la aorta,0,15
Otras malformaciones congénitas de la arteria pulmonar,0,15
Otras malformaciones congénitas de la válvula tricúspide,0,15
Otras malformaciones congénitas de las grandes arterias,0,15
Otras malformaciones congénitas de las grandes venas,0,15
Otras malformaciones congénitas de las válvulas aórticas y mitral,0,15
Otras malformaciones congénitas de los tabiques cardíacos,0,15
"Otras malformaciones congénitas del corazón, especificadas",0,15
Otras sustancias adictivas (excluyendo la cafeína y nicotina),0,20
Otros carcinomas in situ de la mama,15,100
Otros depósitos blandos densos: materia alba,60,61
Otros depósitos blandos densos: materia alba,6,7
Otros depósitos blandos densos: materia alba embarazada,0,100
Otros depósitos especificados sobre los dientes,6,7
Otros depósitos sobre los dientes sin especificar,60,61
Otros depósitos sobre los dientes sin especificar embarazada,0,100
Otros episodios depresivos,15,100
Otros infartos cerebrales,15,100
Otros tipos de enfisema,0,100
Otros trastornos bipolares,15,100
Otros trastornos depresivos recurrentes,15,100
Palatosquisis,0,100
"Paniculitis subcutánea, tipo linfoma T",15,100
Película pigmentada,60,61
Película pigmentada,6,7
Película pigmentada embarazada,0,100
Pentalogía de Fallot,0,15
"Pérdida de dientes debido a accidentes, extracción o enfermedad periodontal local o edentulismo total o parcial embarazada",0,100
"Pérdida de dientes debido a accidentes, extracción o enfermedad periodontal local o edentulismos total o parcial",60,61
Pericoronaritis aguda,6,7
Pericoronaritis Aguda,0,100
Periodontitis aguda,60,61
Periodontitis aguda embarazada,0,100
Periodontitis apical aguda originada en la pulpa,6,7
Periodontitis apical aguda originada en la pulpa embarazada,0,100
Periodontitis apical crónica embarazada,0,100
"Periodontitis apical crónica, granuloma apical",6,7
Periodontitis crónica,60,61
Periodontitis crónica embarazada,0,100
Persistencia de la vena cava superior izquierda,0,15
Persistencia de las asas del arco aórtico,0,15
Persistencia del conducto arterioso,0,15
Persistencia del tronco arterioso,0,15
Placa bacteriana,60,61
Placa bacteriana,6,7
Placa bacteriana embarazada,0,100
Pleuroneumonía (Todas las de manejo ambulatorio),65,100
Poliartritis FR (-),0,100
Poliartritis inflamatoria,0,100
Poliartropatía inflamatoria,0,100
Pólipos mayor o igual de 1 cm,35,50
Politraumatizado Grave,0,100
Posición anómala del corazón,0,15
Presbicia,65,100
psicosis esquizofreniforme,0,100
Pulpitis,6,7
Pulpitis,0,100
Pulpitis embarazada,0,100
Queilosquisis,0,100
Quemado adulto de probabilidad de sobrevida excepcional,0,100
Quemado crítico adulto,0,100
Quemado critico infantil,0,100
"Quemado digestivo adulto (esófago, otras partes)",0,100
Quemado digestivo infantil (esófago. otras partes),0,100
Quemado grave adulto,0,100
Quemado grave Infantil,0,100
Quemado infantil de probabilidad de sobrevida excepcional,0,100
Quemado respiratorio adulto o infantil,0,100
Quiste Dermoide o Epidermoide Raquideo,0,100
Quiste Neuroentérico,0,100
Quiste radicular embarazada,0,100
Radiculopatía por desplazamiento o hernia de disco intervertebral lumbar,0,100
Raquisquisis,0,100
reacción esquizofrénica,0,100
Regurgitación congénita de la válvula pulmonar,0,15
Reinfarto (agudo) anteroapical,0,100
Reinfarto (agudo) anterolateral,0,100
Reinfarto (agudo) anteroseptal,0,100
Reinfarto (agudo) de (pared) anterior sin otra especificación,0,100
Reinfarto (agudo) de (pared) inferior del miocardio,0,100
Reinfarto (agudo) de (pared) lateral del miocardio,0,100
Reinfarto (agudo) de pared diafragmática del miocardio,0,100
Reinfarto (agudo) del miocardio alto lateral,0,100
Reinfarto (agudo) del miocardio apicolateral,0,100
Reinfarto (agudo) del miocardio basolateral,0,100
Reinfarto (agudo) del miocardio inferolateral,0,100
Reinfarto (agudo) del miocardio ínferoposterior,0,100
Reinfarto (agudo) del miocardio posterior (verdadero),0,100
Reinfarto (agudo) del miocardio posterobasal,0,100
Reinfarto (agudo) del miocardio posterolateral,0,100
Reinfarto (agudo) del miocardio posteroseptal,0,100
Reinfarto (agudo) del miocardio septal,0,100
Reinfarto del miocardio,0,100
Reinfarto del miocardio de la pared anterior,0,100
Reinfarto del miocardio de la pared inferior,0,100
Reinfarto del miocardio de otros sitios,0,100
"Reinfarto del miocardio, de parte no especificada.",0,100
Retinopatía del prematuro,0,100
Retinopatía del prematuro.,0,100
Retinopatía diabética,0,100
Retinopatía diabética,0,100
Retinosquisis y quistes de la retina,0,100
Retracción gingival,60,61
Retracción gingival embarazada,0,100
Rotura y estallido ocular,0,100
Ruptura de aneurisma cerebral,0,100
Ruptura de aneurisma cerebral congénito,0,100
Salud oral integral de la embarazada,0,100
Salud Oral Integral del adulto de 60 años,60,61
Salud oral integral para niños y niñas de 6 años,6,7
Sarcoma granulocítica,15,100
Sarcoma mieloide,15,100
Secuelas de estrabismos paralíticos restrictivos o sensoriales,0,9
Sedantes o hipnóticos,0,20
Seminoma,15,100
Seminoma con índice mitótico alto,15,100
Seminoma espermatocítico,15,100
Seminoma tipo anaplásico,15,100
Síncope neurocardiogénico maligno,15,100
Síncope por bradiarritmia,15,100
Síndrome arterial vértebro-basilar,15,100
Síndrome bronquial obstructivo agudo,0,5
Síndrome bronquial obstructivo recurrente del lactante y prescolar,0,15
Síndrome coqueluchoideo,0,5
Síndrome de Apert,0,100
Síndrome de arteria carótida (hemisférico),15,100
Síndrome de Crouzon,0,100
Síndrome de Dificultad Respiratoria en el recién nacido,0,1
Síndrome de hipoplasia del corazón derecho,0,15
Síndrome de hipoplasia del corazón izquierdo,0,15
Síndrome de Inmunodeficiencia Adquirida (SIDA),0,100
Sindrome de la cimitarra,0,15
Síndrome de la inmunodeficiencia adquirida VIH/SIDA,0,100
Síndrome de Pierre-Robin,0,100
Síndrome de Sezary,15,100
Síndrome de Stokes-Adams,15,100
Síndrome de Taussig-Bing,0,15
Síndrome de Van der Woude,0,100
Síndrome del Seno Enfermo o Enfermedad del Nódulo Sinusal (Ens),15,100
Síndrome Taquicardia-Bradicardia,15,100
Síndrome velocardiofacial,0,100
Síndromes arteriales precerebrales bilaterales y múltiples,15,100
Sinus Dermal,0,100
Siringomielocele,0,100
Subluxación de cadera,0,100
Teratoma trofoblástico maligno,15,100
Tetralogía de Fallot,0,15
Toda opacidad del cristalino que disminuya o perturbe la visión.,0,100
Transposición (completa) de los grandes vasos,0,15
Transposición de los grandes vasos en ventrículo derecho,0,15
Transposición de los grandes vasos en ventrículo izquierdo,0,15
Traqueítis,0,5
Traqueobronquitis,0,5
Traqueobronquitis obstructiva crónica,0,100
Trastorno Bipolar en personas de 15 años y más,15,100
Trastorno bipolar sin especificación,15,100
"Trastorno bipolar, actualmente en remisión",15,100
"Trastorno bipolar, episodio actual depresivo grave con síntomas psicóticos",15,100
"Trastorno bipolar, episodio actual depresivo grave sin síntomas psicóticos",15,100
"Trastorno bipolar, episodio actual depresivo leve o moderado",15,100
"Trastorno bipolar, episodio actual hipomaniaco",15,100
"Trastorno bipolar, episodio actual maniaco con síntomas psicóticos",15,100
"Trastorno bipolar, episodio actual maniaco sin síntomas psicóticos",15,100
"Trastorno bipolar, episodio actual mixto",15,100
trastorno de ideas delirantes inducidas con síntomas de esquizofrenia,0,100
Trastorno de ritmo después de la fase aguda del Infarto Agudo del Miocardio,15,100
trastorno delirante no orgánico,0,100
Trastorno depresivo recurrente actualmente en remisión,15,100
Trastorno depresivo recurrente sin especificación,15,100
"Trastorno depresivo recurrente, episodio actual grave con síntomas sicóticos",15,100
"Trastorno depresivo recurrente, episodio actual grave sin síntomas sicóticos",15,100
"Trastorno depresivo recurrente, episodio actual leve",15,100
"Trastorno depresivo recurrente, episodio actual moderado",15,100
trastorno esquizoafectivo,0,100
trastorno esquizofreniforme,0,100
trastorno esquizotípico,0,100
trastorno psicótico agudo con síntomas de esquizofrenia,0,100
trastorno psicótico agudo con síntomas de esquizofrenia,0,100
"Trastornos de generación del impulso y conducción en personas de 15 años y más, que requieren Marcapaso",15,100
Tratamiento de Erradicación del Helicobacter Pylori,0,100
Tratamiento de Hipoacusia moderada en personas menores de 4 años,0,4
Tratamiento de la hiperplasia benigna de la próstata en personas sintomáticas,0,100
"Tratamiento Médico en personas de 55 años y más con Artrosis de Cadera y/o Rodilla, leve o moderada",55,100
Tratamiento quirúrgico de cataratas,0,100
Tratamiento quirúrgico de escoliosis en personas menores de 25 años,0,25
Tratamiento Quirúrgico de Hernia del Núcleo Pulposo Lumbar,0,100
Tratamiento Quirúrgico de lesiones crónicas de la válvula aórtica en personas de 15 años y más,15,100
Tratamiento Quirúrgico de lesiones crónicas de las válvulas mitral y tricúspide en personas de 15 años y más,15,100
Trauma Ocular Grave,0,100
Traumatismo abdominal contuso complicado,0,100
Traumatismo abdominal penetrante complicado,0,100
Traumatismo cerebral difuso,0,100
"Traumatismo cerebral difuso, con herida intracraneal",0,100
"Traumatismo cerebral difuso, sin herida intracraneal",0,100
Traumatismo cervical contuso complicado,0,100
Traumatismo cervical penetrante complicado,0,100
Traumatismo Cráneo Encefálico moderado o grave,0,100
Traumatismo de la corteza visual,0,100
Traumatismo de otros nervios craneales,0,100
Traumatismo de varios nervios craneales,0,100
Traumatismo de! nervio hipogloso [duodécimo par craneal] [XII par],0,100
Traumatismo de¡ nervio hipogloso (XII par),0,100
Traumatismo del cuarto par craneal,0,100
Traumatismo del encéfalo y de nervios craneales con traumatismo de nervios y médula espinal a nivel del cuello,0,100
Traumatismo del nervio acústico (VIII par),0,100
Traumatismo del nervio auditivo,0,100
Traumatismo del nervio espinal (XI par),0,100
Traumatismo del nervio facial (VII par),0,100
Traumatismo del nervio glosofaríngeo (XI par),0,100
Traumatismo del nervio glosofaríngeo [noveno par craneal] [IX par],0,100
Traumatismo del nervio motor ocular común (III par),0,100
Traumatismo del nervio motor ocular externo (VI par),0,100
Traumatismo del nervio neumogástrico [décimo par craneal] [X par],0,100
Traumatismo del nervio olfatorio [primer par craneal] [I par],0,100
Traumatismo del nervio óptico (Il par) y de las vías ópticas,0,100
Traumatismo del nervio patético (IV par),0,100
Traumatismo del nervio trigémino (V par),0,100
Traumatismo del octavo par craneal,0,100
Traumatismo del quiasma óptico,0,100
Traumatismo del quinto par craneal,0,100
Traumatismo del segundo par craneal,0,100
Traumatismo del séptimo par craneal,0,100
Traumatismo del sexto par craneal,0,100
Traumatismo del tercer par craneal,0,100
Traumatismo del undécimo par craneal,0,100
Traumatismo dento alveolar,0,100
Traumatismo intracraneal con coma prolongado,0,100
"Traumatismo intracraneal, con herida intracraneal",0,100
Traumatismo pelviano contuso complicado,0,100
Traumatismo pelviano penetrante complicado,0,100
Traumatismo por aplastamiento de la cabeza,0,100
Traumatismo por aplastamiento de la cara,0,100
Traumatismo por aplastamiento del cráneo,0,100
Traumatismo toráxico contuso complicado,0,100
Traumatismo toráxico penetrante complicado,0,100
Tronco arterioso común,0,15
Tumor benigno de la hipófisis,15,100
Tumor de células de Leydig,15,100
Tumor de células intersticiales del testículo,15,100
Tumor de comportamiento incierto o desconocido de la mama,15,100
Tumor de testículo derivado del parénquima,15,100
Tumor del testículo derivado del mesénquima,15,100
"Tumor filoides, maligno",15,100
Tumor maligno de la cúpula vesical,15,100
"Tumor maligno de la curvatura mayor del estómago, sin otra especificación",0,100
"Tumor maligno de la curvatura menor del estómago, sin otra especificación",0,100
Tumor maligno de la mama,15,100
Tumor maligno de la pared anterior de la vejiga,15,100
Tumor maligno de la pared lateral de la vejiga,15,100
Tumor maligno de la pared posterior de la vejiga,15,100
Tumor maligno de la porción central de la mama,15,100
Tumor maligno de la prolongación axilar de la mama,15,100
Tumor maligno de la próstata,15,100
Tumor maligno de la trompa de Falopio,0,100
Tumor maligno de la unión,15,100
Tumor maligno de la unión cardioesofágica,0,100
Tumor maligno de la unión gastroesofágica,0,100
Tumor maligno de la vejiga urinaria,15,100
"Tumor maligno de la vejiga urinaria, parte no especificada",15,100
Tumor maligno de orificio del cardias,0,100
Tumor maligno del ángulo esplénico,15,100
Tumor maligno del ángulo hepático,15,100
Tumor maligno del antro gástrico,0,100
Tumor maligno del antro pilórico,0,100
Tumor maligno del apéndice,15,100
Tumor maligno del cardias,0,100
Tumor maligno del ciego,15,100
Tumor maligno del colon,15,100
Tumor maligno del colon ascendente,15,100
Tumor maligno del colon descendente,15,100
Tumor maligno del colon sigmoideo,15,100
Tumor maligno del colon transverso,15,100
Tumor maligno del conducto pilórico,0,100
Tumor maligno del cuadrante inferior externo de la mama,15,100
Tumor maligno del cuadrante inferior interno de la mama,15,100
Tumor maligno del cuadrante superior externo de la mama,15,100
Tumor maligno del cuadrante superior interno de la mama,15,100
Tumor maligno del cuello de la vejiga,15,100
"Tumor maligno del cuello del útero, sin otra especificación",0,100
Tumor maligno del cuerpo del estómago,0,100
Tumor maligno del endocervix,0,100
Tumor maligno del exocervix,0,100
Tumor maligno del fundus gástrico,0,100
Tumor maligno del orificio ureteral,15,100
Tumor maligno del ovario,0,100
Tumor maligno del pezón y de la aréola mamaria,15,100
Tumor maligno del píloro,0,100
Tumor maligno del prepíloro,0,100
Tumor maligno del recto,15,100
Tumor maligno del tejido conjuntivo de la mama,15,100
Tumor maligno del testículo,15,100
Tumor maligno del testículo descendido,15,100
Tumor maligno del testículo ectópico,15,100
Tumor maligno del testículo escrotal,15,100
Tumor maligno del testículo no descendido,15,100
Tumor maligno del testículo retenido,15,100
Tumor maligno del trígono vesical,15,100
Tumor maligno del uraco,15,100
Tumores del Sistema Nerviosos Central de crecimiento rápido,0,15
Tumores Primarios del Sistema Nervioso Central en personas de 15 años o más,15,100
Ulcera corneal de origen traumático,0,100
Urgencia Odontológica Ambulatoria,0,100
Ventana aortopulmonar,0,15
Ventrículo común,0,15
Ventrículo con doble entrada,0,15
Ventrículo único,0,15
Vicios de refracción en personas de 65 años y más,65,100
Wolff Parkinson White,0,15
